name,slug,shortdescription,longdescription,order,state,image,title,description,keywords
MARKETING POR TELEFONO,,Empresas especializadas en Marketing por telefono,Empresas especializadas en Marketing por telefono,87,1,categories/default.jpg,,,
MARKETING POR INTERNET,,Empresas especialiszadas en brindar servicio de marketing Por Internet,Empresas especialiszadas en brindar servicio de marketing Por Internet,88,1,categories/default.jpg,,,
ODONTOLOGOS,,Empresas y M?dicos especializadios en ODONTOLOG?A,Empresas y M?dicos especializadios en ODONTOLOG?A,89,1,categories/default.jpg,,,
CLINICAS DE OFTALMOLOGIA,,Clinicas especializdas en oftalmolog,Clinicas especializdas en oftalmolog,90,1,categories/default.jpg,,,
OFTALMOLOGOS,,"Medicos Oftalmologos, especialistas en Oftalmolog","Medicos Oftalmologos, especialistas en Oftalmolog",91,1,categories/default.jpg,,,
CLINICAS DENTALES,,Cl?nicas especializadas en brindar servicio de odontolog,Cl?nicas especializadas en brindar servicio de odontolog,92,1,categories/default.jpg,,,
ALOJAMIENTO WEB,,"Alojamiento de paginas web y Hosting de paginas web, alojamiento de emails, alojamiento web y dominios","Alojamiento de paginas web y Hosting de paginas web, alojamiento de emails, alojamiento web y dominios",93,1,categories/default.jpg,,,
RECURSOS HUMANOS RRHH,,"Empresa especializada en recursos humanos, capacitacion, entrenamiento, evaluacion, etc.","Empresa especializada en recursos humanos, capacitacion, entrenamiento, evaluacion, etc.",94,1,categories/default.jpg,,,
DOMINIOS,,"Registro de dominios, dominios web, venta de dominios, dominios .com , dominios .pe, dominios para paginas web, dominio economico, dominios y hosting","Registro de dominios, dominios web, venta de dominios, dominios .com , dominios .pe, dominios para paginas web, dominio economico, dominios y hosting",95,1,categories/default.jpg,,,
INTERNET,,Empresas especializadas en brindar soluciones haciendo uso de la Tecnologia Internet y tambien empresas que brindan acceso a Internet tambien llamados IPS ,Empresas especializadas en brindar soluciones haciendo uso de la Tecnologia Internet y tambien empresas que brindan acceso a Internet tambien llamados IPS ,96,1,categories/default.jpg,,,
POSICIONAMIENTO WEB,,"Empresas especializadas en brindar servicio de posicionamiento web en buscadores como google, yahoo. MSN, etc....","Empresas especializadas en brindar servicio de posicionamiento web en buscadores como google, yahoo. MSN, etc....",97,1,categories/default.jpg,,,
SOPORTE TECNICO DE COMPUTADORAS,,"empresas especilizadas en brindar soporte tecnico de computadoras, mantenimiento preventivo y correctivo","empresas especilizadas en brindar soporte tecnico de computadoras, mantenimiento preventivo y correctivo",98,1,categories/default.jpg,,,
REVISTAS,,Empresas que publican reviastas virtuales y fisicamente,Empresas que publican reviastas virtuales y fisicamente,99,1,categories/default.jpg,,,
SALONES DE BELLEZA,,"Empresa especializada en corte de cabello. manicure, pediacure, limpieza facial","Empresa especializada en corte de cabello. manicure, pediacure, limpieza facial",100,1,categories/default.jpg,,,
DENTISTAS - PRODUCTOS,,"Empresas que venden articulos y productos para clinicas odontologias , Odontologos y dentistas","Empresas que venden articulos y productos para clinicas odontologias , Odontologos y dentistas",101,1,categories/default.jpg,,,
VIDEOS,,todo relacionado a la produccion y venta de videos,todo relacionado a la produccion y venta de videos,102,1,categories/default.jpg,,,
ORQUESTA Y GRUPOS MUSICALES,,Aqui van las empresas y grupos musicales,Aqui van las empresas y grupos musicales,103,1,categories/default.jpg,,,
ESPECTACULOS,,Empresas que brindan todo lo relacionado a espectaculos,Empresas que brindan todo lo relacionado a espectaculos,104,1,categories/default.jpg,,,
ROPA DEPORTIVA,,"Empresas que venden ropa deportiva para damas, caballeros y ni?os","Empresas que venden ropa deportiva para damas, caballeros y ni?os",105,1,categories/default.jpg,,,
ART?CULOS DEPORTIVOS,,Empresas que venden articulos relacionados a todo los deportes,Empresas que venden articulos relacionados a todo los deportes,106,1,categories/default.jpg,,,
FOTOCOPIADORAS,,FOTOCOPIADORAS,FOTOCOPIADORAS,107,1,categories/default.jpg,,,
COPIADORAS,,COPIADORAS,COPIADORAS,108,1,categories/default.jpg,,,
MANTENIMIENTO DE FOTOCOPIADORAS,,empresas que brindan servicio de mantenimiento y reparacion de fotocopiadoras e Impresoras,empresas que brindan servicio de mantenimiento y reparacion de fotocopiadoras e Impresoras,109,1,categories/default.jpg,,,
SUMINISTROS DE FOTOCOPIADORAS,,SUMINISTROS DE FOTOCOPIADORAS,SUMINISTROS DE FOTOCOPIADORAS,110,1,categories/default.jpg,,,
VALVULAS PINCH,,VALVULAS PINCH,VALVULAS PINCH,111,1,categories/default.jpg,,,
SOPORTE TECNICO DE FOTOCOPIADORAS,,SOPORTE TECNICO DE FOTOCOPIADORAS,SOPORTE TECNICO DE FOTOCOPIADORAS,112,1,categories/default.jpg,,,
ACADEMIAS DE LOCUCION Y ORATORIA,,"academias de locucion, academia de oratoria, institutos que se dedican a la enseñanza de locucion y Oratoria, instructores de locucion y oratoria, profesores de locucion y oratoria","academias de locucion, academia de oratoria, institutos que se dedican a la enseñanza de locucion y Oratoria, instructores de locucion y oratoria, profesores de locucion y oratoria",113,1,categories/default.jpg,,,
LOCUCION,,LOCUCION,LOCUCION,114,1,categories/default.jpg,,,
LOCUCI?N COMERCIAL,,LOCUCI?N COMERCIAL,LOCUCI?N COMERCIAL,115,1,categories/default.jpg,,,
SUPERMERCADOS,,SUPERMERCADOS,SUPERMERCADOS,116,1,categories/default.jpg,,,
ADN,,"Clinicas especializadas en examenes de ADN, paternidad con ADN, donde hacen adn","Clinicas especializadas en examenes de ADN, paternidad con ADN, donde hacen adn",117,1,categories/default.jpg,,,
ABOGADOS ESPECIALISTAS DERECHO CIVIL,,"abogados especialistas en derecho civil en Peru, especialistas en derecho civil peru, solucion a problemas legales en materia civil","abogados especialistas en derecho civil en Peru, especialistas en derecho civil peru, solucion a problemas legales en materia civil",118,1,categories/default.jpg,,,
redes de pesca,,"venta de redes para pesca, redes de pesca, fabrica de redes para pesca, fabrica de redes deportivas, redes para la acuicultura, redes para mineria, redes para construcción","venta de redes para pesca, redes de pesca, fabrica de redes para pesca, fabrica de redes deportivas, redes para la acuicultura, redes para mineria, redes para construcción",119,1,categories/default.jpg,,,
ABOGADOS ESPECIALISTAS DERECHO PENAL,,"abogados derechos penal en peru, directorio de abogados especialistas derecho penal, abogados especialista derecho penaly procesal penal, especialistas en trafico ilicito de drogas.  ","abogados derechos penal en peru, directorio de abogados especialistas derecho penal, abogados especialista derecho penaly procesal penal, especialistas en trafico ilicito de drogas.  ",120,1,categories/default.jpg,,,
ABOGADOS ESPECIALISTAS DERECHO COMERCIAL,," los mejores abogados en derecho comercial, negocios internacionales "," los mejores abogados en derecho comercial, negocios internacionales ",121,1,categories/default.jpg,,,
ABOGADOS ESPECIALISTAS DERECHO TRIBUTARIO,,"asesoramientos tributarios, specialistas en derecho tributarios empresarial.  ","asesoramientos tributarios, specialistas en derecho tributarios empresarial.  ",122,1,categories/default.jpg,,,
ABOGADOS ESPECIALISTAS DERECHO LABORAL,,"  especialistas en derecho laboral y normas, abogados especialistas en derecho laboral y familia, especialista en derecho administrativo.","  especialistas en derecho laboral y normas, abogados especialistas en derecho laboral y familia, especialista en derecho administrativo.",123,1,categories/default.jpg,,,
ABOGADOS ESPECIALISTAS DERECHO INTERNACIONAL,,"especialistas en derecho internacional, negocios internacionales, especialistas en internacional comunales. ","especialistas en derecho internacional, negocios internacionales, especialistas en internacional comunales. ",124,1,categories/default.jpg,,,
FERTILIZANTES,,"Empresas que comercializan abonos, urea, nitrato, sulfato, cloruro","Empresas que comercializan abonos, urea, nitrato, sulfato, cloruro",125,1,categories/default.jpg,,,
ABRASIVOS,,"Empresas que comercilizan y fabrican Bandas, Discos, Pliegos, Autoadhesivas, Rollos, Ruedas Asaflap, Lijas a Medida.","Empresas que comercilizan y fabrican Bandas, Discos, Pliegos, Autoadhesivas, Rollos, Ruedas Asaflap, Lijas a Medida.",126,1,categories/default.jpg,,,
ENFERMERAS,,ENFERMERAS,ENFERMERAS,127,1,categories/default.jpg,,,
INYECTABLES,,INYECTABLES,INYECTABLES,128,1,categories/default.jpg,,,
CURACIÓN DE HERIDAS,,"CURACIÓN DE HERIDAS, CURACION DE HERIDAS, ENFERMERAS ESPECIALIZADAS EN CURAR HERIDAS, COMO CURAR HERIDAS, LIMPIEZA DE HERIDAS, TRATAMIENTO DE HERIDAS, CURACION DE HERIDAS INFECTADAS, CUIDADO DE PACIENTES CON HERIDAS ","CURACIÓN DE HERIDAS, CURACION DE HERIDAS, ENFERMERAS ESPECIALIZADAS EN CURAR HERIDAS, COMO CURAR HERIDAS, LIMPIEZA DE HERIDAS, TRATAMIENTO DE HERIDAS, CURACION DE HERIDAS INFECTADAS, CUIDADO DE PACIENTES CON HERIDAS ",129,1,categories/default.jpg,,,
CUIDADO DE ANCIANOS,,CUIDADO DE ANCIANOS,CUIDADO DE ANCIANOS,130,1,categories/default.jpg,,,
COLOCACION DE SONDAS,,colocacion de sonas vesical y nasogastrica,colocacion de sonas vesical y nasogastrica,131,1,categories/default.jpg,,,
ENFERMERAS ESPECIALIZADAS EN GERIATRIA,,ENFERMERAS ESPECIALIZADAS EN GERIATRIA,ENFERMERAS ESPECIALIZADAS EN GERIATRIA,132,1,categories/default.jpg,,,
CURACION DE ULSERAS POR PRESION - ESCARAS,,curacion de ulseras varicosas,curacion de ulseras varicosas,133,1,categories/default.jpg,,,
BUFFETS,,"eventos matrimoniales, quinsea?eras, fiestas, organizacion de todo tipo de enventos","eventos matrimoniales, quinsea?eras, fiestas, organizacion de todo tipo de enventos",134,1,categories/default.jpg,,,
MATRIMONIOS VESTIDO DE NOVIAS,,"venta de vestido para novias, ropa de gala, vestidos de gala","venta de vestido para novias, ropa de gala, vestidos de gala",135,1,categories/default.jpg,,,
MATRIMONIOS TERNO PARA NOVIOS,,terno para novios,terno para novios,136,1,categories/default.jpg,,,
MATRIMONIOS TARJETAS Y PARTES MATRIMONIALES,,"tarjetas, recuerdos para matrimonios","tarjetas, recuerdos para matrimonios",137,1,categories/default.jpg,,,
MATRIMONIOS CARROS LIMUSINAS,,"carros, carcochas, limusinas, especial para novios","carros, carcochas, limusinas, especial para novios",138,1,categories/default.jpg,,,
"MATRIMONIOS FILMACIONES, FOTOGRAFIAS",,fotografias y filmaciones para eventos matrimoniales,fotografias y filmaciones para eventos matrimoniales,139,1,categories/default.jpg,,,
MATRIMONIOS SALONES DE BELLEZA,,salones de belleza especializados en arreglo de novios y novias,salones de belleza especializados en arreglo de novios y novias,140,1,categories/default.jpg,,,
MATRIMONIOS SALONES DE RECEPCI?N,,salones de recepcion para eventos matrimoniales,salones de recepcion para eventos matrimoniales,141,1,categories/default.jpg,,,
